filename,loc_physical,loc,cc,fan_in,fan_out
tests/sitecustomize.py,6,6,2,0,1
tests/urls.py,6,1,2,0,0
tests/runtests.py,808,99,123,17,29
tests/test_sqlite.py,31,13,5,0,0
tests/generic_views/test_list.py,267,226,20,27,5
tests/generic_views/test_detail.py,221,187,3,24,8
tests/generic_views/models.py,64,42,1,5,4
tests/generic_views/test_dates.py,920,275,20,76,6
tests/generic_views/test_edit.py,472,389,17,38,10
tests/generic_views/__init__.py,0,0,1,0,0
tests/generic_views/forms.py,26,17,2,1,2
tests/generic_views/urls.py,379,362,3,0,7
tests/generic_views/test_base.py,679,452,19,76,10
tests/generic_views/views.py,352,32,4,22,7
tests/mutually_referential/models.py,23,9,2,0,1
tests/mutually_referential/__init__.py,0,0,1,0,0
tests/mutually_referential/tests.py,21,11,2,1,2
tests/signed_cookies_tests/__init__.py,0,0,1,0,0
tests/signed_cookies_tests/tests.py,79,68,1,7,5
tests/expressions_case/models.py,68,58,3,0,2
tests/expressions_case/__init__.py,0,0,1,0,0
tests/expressions_case/tests.py,1674,1543,19,91,11
tests/model_forms/test_modelchoicefield.py,455,353,14,32,8
tests/model_forms/models.py,545,372,26,38,9
tests/model_forms/__init__.py,0,0,1,0,0
tests/model_forms/tests.py,3768,1766,133,177,18
tests/model_forms/test_uuid.py,44,36,1,4,4
tests/fixtures_regress/models.py,369,212,13,25,2
tests/fixtures_regress/__init__.py,0,0,1,0,0
tests/fixtures_regress/tests.py,1017,662,71,62,14
tests/aggregation/models.py,52,37,1,4,1
tests/aggregation/__init__.py,0,0,1,0,0
tests/aggregation/tests.py,2731,2111,53,145,15
tests/aggregation/test_filter_argument.py,241,218,3,20,6
tests/composite_pk/test_filter.py,609,549,22,40,7
tests/composite_pk/test_names_to_path.py,134,120,1,6,4
tests/composite_pk/__init__.py,0,0,1,0,0
tests/composite_pk/test_delete.py,83,68,1,5,2
tests/composite_pk/test_update.py,196,169,3,14,5
tests/composite_pk/test_values.py,226,218,2,4,4
tests/composite_pk/test_aggregate.py,143,124,1,11,3
tests/composite_pk/test_get.py,135,121,7,7,2
tests/composite_pk/test_create.py,163,145,5,9,3
tests/composite_pk/test_models.py,157,126,5,8,4
tests/composite_pk/test_order_by.py,72,65,1,4,3
tests/composite_pk/tests.py,394,338,10,30,12
tests/composite_pk/test_checks.py,270,233,3,18,5
tests/composite_pk/models/tenant.py,62,46,1,0,2
tests/composite_pk/models/__init__.py,10,9,1,0,1
tests/middleware/test_security.py,311,163,15,30,4
tests/middleware/test_csp.py,206,139,6,17,8
tests/middleware/extra_urls.py,9,7,1,0,2
tests/middleware/__init__.py,0,0,1,0,0
tests/middleware/cond_get_urls.py,6,5,1,0,2
tests/middleware/tests.py,1115,696,29,121,16
tests/middleware/urls.py,27,22,1,0,3
tests/middleware/views.py,87,58,3,12,11
tests/test_runner/runner.py,29,25,1,3,1
tests/test_runner/models.py,28,17,1,1,1
tests/test_runner/test_discover_runner.py,858,465,21,83,12
tests/test_runner/__init__.py,0,0,1,0,0
tests/test_runner/test_parallel.py,284,208,12,24,10
tests/test_runner/test_shuffler.py,101,86,7,11,3
tests/test_runner/test_debug_sql.py,328,243,9,31,9
