filename,loc_physical,loc,cc,fan_in,fan_out
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/TransactionsExpirationTest.java,310,245,18,17,43
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/MetadataVersionIntegrationTest.java,88,62,5,3,10
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/ClientsTestUtils.java,539,444,16,46,38
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/ClientRebootstrapTest.java,296,205,11,13,22
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/CreateTopicsRequestWithPolicyTest.java,239,191,15,9,23
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/TransactionsWithMaxInFlightOneTest.java,126,99,4,6,31
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/MetricsDuringTopicCreationDeletionTest.java,148,105,16,12,15
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/producer/ProducerIdExpirationTest.java,287,205,8,12,47
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/producer/ProducerCompressionTest.java,178,131,9,6,28
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/producer/ProducerSendWhileDeletionTest.java,342,261,20,17,41
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/producer/ProducerFailureHandlingTest.java,300,201,8,8,37
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/security/GroupAuthorizerIntegrationTest.java,444,375,8,34,52
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/StaticBrokerConfigTest.java,198,144,11,9,22
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/ListOffsetsIntegrationTest.java,291,204,19,22,30
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/AdminClientWithPoliciesIntegrationTest.java,201,141,4,10,28
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/DeleteTopicTest.java,376,306,20,21,32
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/DescribeAuthorizedOperationsTest.java,242,192,4,15,34
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/ClientTelemetryTest.java,195,149,4,10,43
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/DescribeProducersWithBrokerIdTest.java,143,103,4,10,14
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/AdminFenceProducersTest.java,137,96,5,6,21
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/admin/RackAwareAutoTopicCreationTest.java,145,105,12,6,20
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/PlaintextConsumerPollTest.java,680,514,23,52,47
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/PlaintextConsumerSubscriptionTest.java,628,470,8,37,37
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/ConsumerBounceTest.java,814,582,52,54,51
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/ShareConsumerRackAwareTest.java,188,150,5,0,22
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/ShareConsumerTest.java,3227,2502,125,133,90
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/PlaintextConsumerFetchTest.java,489,386,14,36,37
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/PlaintextConsumerCallbackTest.java,371,299,11,42,24
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/ConsumerIntegrationTest.java,349,288,20,15,31
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/PlaintextConsumerAssignTest.java,315,236,6,30,22
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/PlaintextConsumerTest.java,1726,1404,22,118,92
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/RackAwareAssignor.java,105,74,15,2,14
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/ConsumerTopicCreationTest.java,125,93,4,10,16
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/PlaintextConsumerCommitTest.java,599,439,11,54,38
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/SaslPlainPlaintextConsumerTest.java,156,124,3,11,27
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/ConsumerAssignmentPoller.java,131,98,12,20,10
clients/clients-integration-tests/src/test/java/org/apache/kafka/clients/consumer/ConsumerWithLegacyMessageFormatIntegrationTest.java,224,168,7,20,30
clients/clients-integration-tests/src/test/java/org/apache/kafka/server/quota/CustomQuotaCallbackTest.java,182,134,8,18,22
clients/src/test/java/org/apache/kafka/clients/ClientUtilsTest.java,204,165,3,13,22
clients/src/test/java/org/apache/kafka/clients/MockClient.java,845,639,64,116,24
clients/src/test/java/org/apache/kafka/clients/NodeApiVersionsTest.java,196,162,12,11,20
clients/src/test/java/org/apache/kafka/clients/MetadataSnapshotTest.java,235,176,3,5,19
clients/src/test/java/org/apache/kafka/clients/ClusterConnectionStatesTest.java,469,329,15,36,19
clients/src/test/java/org/apache/kafka/clients/NetworkClientTest.java,1482,835,28,87,70
clients/src/test/java/org/apache/kafka/clients/InFlightRequestsTest.java,129,86,3,12,12
clients/src/test/java/org/apache/kafka/clients/GroupRebalanceConfigTest.java,75,51,3,0,6
clients/src/test/java/org/apache/kafka/clients/AddressChangeHostResolver.java,49,26,3,9,1
clients/src/test/java/org/apache/kafka/clients/CommonClientConfigsTest.java,156,121,3,7,19
clients/src/test/java/org/apache/kafka/clients/FetchSessionHandlerTest.java,788,637,23,23,37
clients/src/test/java/org/apache/kafka/clients/ApiVersionsTest.java,66,40,3,1,4
clients/src/test/java/org/apache/kafka/clients/MetadataTest.java,1233,932,24,40,49
clients/src/test/java/org/apache/kafka/clients/producer/RecordSendTest.java,104,48,6,7,15
clients/src/test/java/org/apache/kafka/clients/producer/ProducerRecordTest.java,78,45,6,2,4
clients/src/test/java/org/apache/kafka/clients/producer/ProducerConfigTest.java,205,158,6,12,20
clients/src/test/java/org/apache/kafka/clients/producer/MockProducerTest.java,750,621,9,63,30
clients/src/test/java/org/apache/kafka/clients/producer/RecordMetadataTest.java,62,38,3,2,4
clients/src/test/java/org/apache/kafka/clients/producer/KafkaProducerTest.java,3244,2628,59,169,152
clients/src/test/java/org/apache/kafka/clients/producer/PreparedTxnStateTest.java,196,130,6,10,6
clients/src/test/java/org/apache/kafka/clients/producer/RoundRobinPartitionerTest.java,99,66,9,3,11
clients/src/test/java/org/apache/kafka/clients/producer/internals/TransactionManagerTest.java,4617,3432,55,225,101
clients/src/test/java/org/apache/kafka/clients/producer/internals/RecordAccumulatorTest.java,1793,1335,105,81,64
clients/src/test/java/org/apache/kafka/clients/producer/internals/BuiltInPartitionerTest.java,208,142,11,5,15
clients/src/test/java/org/apache/kafka/clients/producer/internals/SenderTest.java,3957,2966,94,145,126
clients/src/test/java/org/apache/kafka/clients/producer/internals/FutureRecordMetadataTest.java,82,50,3,5,11
clients/src/test/java/org/apache/kafka/clients/producer/internals/ProducerMetadataTest.java,335,244,20,20,22
clients/src/test/java/org/apache/kafka/clients/producer/internals/ProducerTestUtils.java,45,24,4,1,2
clients/src/test/java/org/apache/kafka/clients/producer/internals/ProducerBatchTest.java,374,276,24,18,35
clients/src/test/java/org/apache/kafka/clients/producer/internals/KafkaProducerMetricsTest.java,128,72,3,20,4
clients/src/test/java/org/apache/kafka/clients/producer/internals/BufferPoolTest.java,410,303,24,30,29
clients/src/test/java/org/apache/kafka/clients/producer/internals/ProducerInterceptorsTest.java,268,190,26,30,11
clients/src/test/java/org/apache/kafka/clients/admin/AdminClientConfigTest.java,49,25,3,2,9
clients/src/test/java/org/apache/kafka/clients/admin/DeleteConsumerGroupOffsetsResultTest.java,118,84,3,13,16
clients/src/test/java/org/apache/kafka/clients/admin/MemberDescriptionTest.java,156,117,3,9,6
clients/src/test/java/org/apache/kafka/clients/admin/KafkaAdminClientTest.java,11721,9488,186,366,307
clients/src/test/java/org/apache/kafka/clients/admin/DescribeTopicsResultTest.java,46,22,3,2,5
clients/src/test/java/org/apache/kafka/clients/admin/DeleteTopicsResultTest.java,66,38,3,3,10
clients/src/test/java/org/apache/kafka/clients/admin/EndpointTypeTest.java,48,24,3,4,3
clients/src/test/java/org/apache/kafka/clients/admin/AdminClientTestUtils.java,220,134,12,20,17
clients/src/test/java/org/apache/kafka/clients/admin/AdminClientUnitTestEnv.java,140,88,8,18,11
clients/src/test/java/org/apache/kafka/clients/admin/RemoveMembersFromConsumerGroupOptionsTest.java,39,15,4,1,4
clients/src/test/java/org/apache/kafka/clients/admin/GroupListingTest.java,49,22,3,2,7
