first_token,loc_physical,loc,cc,fan_in,fan_out
.github,2237,1289,417,53,58
clients,367076,241633,25021,25859,20309
committer-tools,983,621,186,29,36
connect,144327,97832,9433,10961,9817
coordinator-common,15315,9693,620,655,567
core,25116,18495,1411,1005,1041
docker,831,462,175,35,40
examples,1170,786,119,86,119
generator,9992,7874,1046,527,265
group-coordinator,94576,69896,3398,3843,3297
jmh-benchmarks,8848,6289,462,693,1437
metadata,58913,43337,3907,3653,3953
raft,49654,36836,2300,2460,1993
release,1447,738,281,77,36
server,20149,13374,1502,1546,1906
server-common,31688,21187,2149,2388,1236
share-coordinator,9020,6969,345,448,402
shell,3385,2331,250,271,287
storage,52631,34072,3927,3901,3286
streams,353068,252443,18236,23350,23541
test-common,5937,4227,396,456,559
tests,24009,11171,3833,1184,847
tools,54832,42067,3269,3306,3983
transaction-coordinator,2308,1560,178,217,172
trogdor,19080,12520,1300,1570,1453
,,,,,
,1356592,937702,84161,88573,80640
