filename,loc_physical,loc,cc,fan_in,fan_out
init/do_mounts_rd.c,334,172,39,10,12
init/do_mounts.c,521,268,63,24,26
init/do_mounts_initrd.c,154,72,9,3,11
init/initramfs.c,790,189,88,18,25
init/initramfs_test.c,407,91,14,13,8
init/version-timestamp.c,30,22,1,0,6
init/init_task.c,232,217,3,0,16
init/main.c,1609,649,140,45,98
init/calibrate.c,316,147,42,7,6
init/version.c,54,32,2,0,10
init/noinitramfs.c,42,26,4,1,6
crypto/jitterentropy-testing.c,295,113,28,7,4
crypto/fcrypt.c,420,216,7,0,5
crypto/sig.c,182,142,14,7,8
crypto/ecdsa-p1363.c,161,118,9,1,6
crypto/hmac.c,581,10,35,18,8
crypto/md4.c,241,185,4,2,7
crypto/twofish_generic.c,196,38,4,0,8
crypto/scatterwalk.c,381,216,43,9,8
crypto/algif_hash.c,471,361,42,10,8
crypto/api.c,742,473,81,28,12
crypto/pcbc.c,195,150,11,7,7
crypto/cryptd.c,1152,145,58,19,14
crypto/crc32c.c,166,99,5,0,7
crypto/kpp.c,144,108,5,5,9
crypto/aead.c,296,226,23,18,12
crypto/ecdh.c,247,47,15,4,6
crypto/sm4_generic.c,92,14,2,0,8
crypto/drbg.c,2154,686,185,44,5
crypto/tea.c,262,196,7,0,6
crypto/simd.c,481,8,29,13,8
crypto/polyval-generic.c,205,128,9,0,9
crypto/hctr2.c,579,346,53,15,6
crypto/lzo.c,99,75,4,5,5
crypto/curve25519-generic.c,91,38,6,1,5
crypto/seqiv.c,176,129,13,4,9
crypto/pcrypt.c,387,89,22,9,10
crypto/deflate.c,260,193,22,6,11
crypto/ecdh_helper.c,83,59,7,2,6
crypto/lz4hc.c,95,72,4,5,5
crypto/zstd.c,320,253,27,3,10
crypto/sm3_generic.c,72,53,1,0,5
crypto/xts.c,476,109,38,11,12
crypto/blowfish_generic.c,133,99,1,0,7
crypto/geniv.c,152,112,10,4,7
crypto/aes_generic.c,1320,19,15,1,8
crypto/aria_generic.c,314,244,10,6,2
crypto/aes_ti.c,83,52,1,0,3
crypto/kdf_sp800108.c,157,106,20,4,4
crypto/algif_aead.c,528,266,43,7,11
crypto/rsa.c,437,46,50,9,7
crypto/cbc.c,187,74,17,3,6
crypto/ecdsa-x962.c,238,103,16,5,8
crypto/khazad.c,879,731,4,3,6
crypto/seed.c,469,332,3,0,6
crypto/tcrypt.c,2872,210,255,68,17
crypto/rsa-pkcs1pad.c,379,60,36,4,10
crypto/gcm.c,1131,479,72,11,12
crypto/sha1.c,240,190,3,0,4
crypto/shash.c,592,430,57,33,9
crypto/ecc.c,1719,338,189,46,12
crypto/cast5_generic.c,540,477,6,4,8
crypto/crypto_null.c,155,119,6,1,7
crypto/ghash-generic.c,162,103,11,0,8
crypto/jitterentropy.c,826,225,62,8,4
crypto/ccm.c,941,178,72,15,11
crypto/lskcipher.c,593,425,47,26,9
crypto/algapi.c,1121,440,126,38,13
crypto/xor.c,174,57,12,2,6
crypto/sm4.c,184,135,6,3,3
crypto/essiv.c,650,331,49,13,8
crypto/cmac.c,260,24,14,5,8
crypto/des_generic.c,134,107,7,2,7
crypto/ctr.c,360,58,20,5,9
crypto/842.c,85,55,3,1,4
crypto/bpf_crypto_skcipher.c,83,0,2,1,4
crypto/crc32.c,129,32,3,0,7
crypto/af_alg.c,1330,522,137,28,18
crypto/testmgr.c,5865,3000,613,106,22
crypto/rsa_helper.c,186,25,12,10,7
crypto/authencesn.c,442,73,25,6,12
crypto/twofish_common.c,693,448,33,3,8
crypto/aegis128-core.c,577,458,36,4,13
crypto/crypto_user.c,506,278,47,10,13
crypto/skcipher.c,642,458,48,24,15
crypto/lrw.c,429,166,31,7,10
crypto/algboss.c,254,191,23,9,13
crypto/echainiv.c,153,105,9,2,9
crypto/cast6_generic.c,280,106,3,5,8
crypto/xctr.c,191,37,11,4,8
crypto/serpent_generic.c,609,232,4,5,7
crypto/michael_mic.c,176,72,8,1,6
crypto/ecb.c,228,96,13,4,7
crypto/aegis128-neon.c,69,54,2,7,4
crypto/anubis.c,702,608,16,6,6
crypto/lzo-rle.c,99,75,4,5,5
crypto/blake2b_generic.c,192,156,8,0,6
crypto/krb5enc.c,504,359,33,9,12
crypto/scompress.c,410,323,32,13,16
crypto/nhpoly1305.c,255,43,18,8,8
crypto/adiantum.c,649,206,58,8,9
crypto/chacha.c,260,75,11,3,5
crypto/xcbc.c,208,155,11,6,8
crypto/cts.c,410,123,21,7,11
crypto/cast_common.c,286,272,3,0,2
crypto/rsassa-pkcs1.c,437,128,36,4,9
crypto/proc.c,100,78,5,2,9
crypto/algif_rng.c,340,221,23,7,7
crypto/akcipher.c,256,204,10,10,11
crypto/acompress.c,588,456,52,26,17
crypto/jitterentropy-kcapi.c,377,145,24,12,9
crypto/sha256.c,419,40,3,1,4
crypto/blowfish_common.c,398,313,9,1,7
crypto/aegis128-neon-inner.c,345,259,15,11,4
crypto/md5.c,224,180,3,2,5
crypto/ahash.c,1086,849,116,48,13
crypto/arc4.c,82,59,2,0,6
crypto/streebog_generic.c,1074,918,9,2,5
crypto/lz4.c,97,73,4,5,6
crypto/wp512.c,1145,1051,11,4,6
crypto/dh_helper.c,120,84,11,4,6
crypto/hkdf.c,573,484,31,6,4
crypto/ansi_cprng.c,474,247,42,6,7
crypto/xxhash_generic.c,106,82,3,0,5
crypto/authenc.c,429,336,28,8,12
crypto/dh.c,927,129,64,8,7
crypto/crypto_engine.c,665,362,47,42,13
crypto/chacha20poly1305.c,486,206,34,5,11
crypto/fips.c,99,13,2,2,9
crypto/sha512.c,425,41,3,1,4
crypto/sha3_generic.c,290,22,8,4,6
crypto/ecrdsa.c,298,119,32,5,10
crypto/camellia_generic.c,1073,456,20,1,7
crypto/cipher.c,119,89,8,5,8
crypto/rmd160.c,351,65,6,1,5
crypto/ecdsa.c,347,162,23,3,6
crypto/algif_skcipher.c,441,262,34,8,10
crypto/rng.c,222,168,15,13,13
crypto/asymmetric_keys/x509_cert_parser.c,809,463,81,21,9
crypto/asymmetric_keys/selftest_ecdsa.c,88,11,4,1,2
crypto/asymmetric_keys/public_key.c,462,300,66,12,11
crypto/asymmetric_keys/pkcs7_parser.c,710,426,54,21,9
crypto/asymmetric_keys/pkcs7_key_type.c,95,62,3,1,6
crypto/asymmetric_keys/pkcs7_trust.c,188,121,28,4,9
crypto/asymmetric_keys/x509_public_key.c,254,134,26,5,10
crypto/asymmetric_keys/x509_loader.c,58,48,6,1,3
crypto/asymmetric_keys/pkcs8_parser.c,180,93,10,5,10
crypto/asymmetric_keys/signature.c,96,60,10,6,8
crypto/asymmetric_keys/selftest.c,72,51,7,2,7
crypto/asymmetric_keys/mscode_parser.c,129,88,4,6,7
crypto/asymmetric_keys/selftest_rsa.c,171,11,4,1,2
crypto/asymmetric_keys/restrict.c,363,164,75,8,5
crypto/asymmetric_keys/verify_pefile.c,456,282,57,6,9
crypto/asymmetric_keys/asymmetric_type.c,675,404,68,18,10
crypto/asymmetric_keys/pkcs7_verify.c,488,255,71,9,9
crypto/async_tx/raid6test.c,250,75,30,9,5
crypto/async_tx/async_pq.c,463,253,46,13,7
crypto/async_tx/async_memcpy.c,97,42,7,1,6
crypto/async_tx/async_xor.c,394,138,45,15,7
crypto/async_tx/async_raid6_recov.c,594,225,38,14,7
crypto/async_tx/async_tx.c,281,123,38,1,4
crypto/krb5/selftest_data.c,291,6,2,0,1
crypto/krb5/rfc3962_aes.c,115,46,5,0,1
crypto/krb5/rfc8009_aes2.c,362,181,24,5,3
crypto/krb5/rfc6803_camellia.c,237,185,16,4,2
crypto/krb5/rfc3961_simplified.c,793,317,76,23,10
crypto/krb5/krb5_kdf.c,145,64,7,6,5
crypto/krb5/selftest.c,545,207,64,9,4
crypto/krb5/krb5_api.c,452,247,45,7,4
Documentation/conf.py,570,216,77,4,7
Documentation/trace/postprocess/decode_msr.py,37,28,10,0,2
Documentation/networking/device_drivers/atm/cxacru-cf.py,48,16,10,0,2
Documentation/scheduler/sched-pelt.c,109,37,12,10,2
Documentation/usb/usbdevfs-drop-permissions.c,120,50,12,8,10
Documentation/sphinx/kernel_feat.py,133,19,10,4,10
Documentation/sphinx/cdomain.py,247,92,33,10,9
Documentation/sphinx/kernel_include.py,193,111,33,3,6
Documentation/sphinx/maintainers_include.py,195,89,38,3,7
Documentation/sphinx/kernel_abi.py,173,30,18,4,9
Documentation/sphinx/rstFlatTable.py,365,89,67,13,4
Documentation/sphinx/translations.py,99,64,9,3,6
Documentation/sphinx/load_config.py,60,4,9,1,3
Documentation/sphinx/automarkup.py,306,171,42,14,7
Documentation/sphinx/kerneldoc.py,313,38,40,9,15
Documentation/sphinx/kfigure.py,655,298,112,19,12
Documentation/userspace-api/media/conf_nitpick.py,111,89,3,0,0
usr/gen_init_cpio.c,697,498,62,45,13
tools/accounting/procacct.c,411,123,38,28,16
tools/accounting/getdelays.c,621,352,66,30,15
tools/accounting/delaytop.c,862,121,99,47,21
tools/power/pm-graph/bootgraph.py,1103,937,205,29,10
tools/power/pm-graph/sleepgraph.py,7213,6443,1520,218,16
tools/power/acpi/tools/ec/ec_access.c,237,99,33,14,10
tools/power/acpi/tools/acpidump/apmain.c,366,131,32,4,1
tools/power/acpi/tools/acpidump/apdump.c,404,63,44,9,1
tools/power/acpi/tools/acpidump/apfiles.c,229,37,22,5,1
tools/power/acpi/tools/pfrut/pfrut.c,438,357,42,17,12
tools/power/acpi/tools/acpidbg/acpidbg.c,441,238,56,24,11
tools/power/acpi/common/cmfsize.c,68,10,5,0,3
tools/power/acpi/common/getopt.c,205,41,23,8,3
tools/power/acpi/os_specific/service_layers/oslinuxtbl.c,1373,317,161,14,1
tools/power/acpi/os_specific/service_layers/osunixxf.c,1317,415,74,22,14
tools/power/acpi/os_specific/service_layers/osunixmap.c,117,44,5,3,4
tools/power/acpi/os_specific/service_layers/osunixdir.c,170,63,15,11,8
tools/power/cpupower/bench/benchmark.c,181,71,21,2,6
tools/power/cpupower/bench/system.c,179,94,13,5,10
tools/power/cpupower/bench/main.c,189,158,14,4,9
tools/power/cpupower/bench/parse.c,230,153,29,4,12
tools/power/cpupower/utils/cpuidle-info.c,217,34,21,5,10
tools/power/cpupower/utils/cpufreq-info.c,695,65,80,7,11
tools/power/cpupower/utils/cpupower.c,246,65,30,10,12
tools/power/cpupower/utils/cpupower-info.c,114,39,15,4,9
tools/power/cpupower/utils/cpufreq-set.c,339,90,55,8,11
tools/power/cpupower/utils/powercap-info.c,117,90,11,8,9
tools/power/cpupower/utils/cpupower-set.c,169,50,25,9,10
tools/power/cpupower/utils/cpuidle-set.c,187,87,28,3,11
tools/power/cpupower/utils/idle_monitor/cpuidle_sysfs.c,212,64,20,10,8
tools/power/cpupower/utils/idle_monitor/mperf_monitor.c,382,177,35,8,8
tools/power/cpupower/utils/idle_monitor/nhm_idle.c,215,52,14,6,6
tools/power/cpupower/utils/idle_monitor/cpupower-monitor.c,488,156,71,23,14
tools/power/cpupower/utils/idle_monitor/rapl_monitor.c,148,23,14,7,9
tools/power/cpupower/utils/idle_monitor/amd_fam14h_idle.c,334,133,26,6,8
tools/power/cpupower/utils/idle_monitor/hsw_ext_idle.c,194,78,14,6,6
tools/power/cpupower/utils/idle_monitor/snb_idle.c,199,84,14,6,6
tools/power/cpupower/utils/helpers/sysfs.c,471,194,46,31,9
tools/power/cpupower/utils/helpers/pci.c,63,32,8,2,1
tools/power/cpupower/utils/helpers/topology.c,21,6,4,0,6
tools/power/cpupower/utils/helpers/amd.c,256,49,23,8,8
tools/power/cpupower/utils/helpers/msr.c,88,54,10,7,5
tools/power/cpupower/utils/helpers/cpuid.c,213,84,35,3,7
tools/power/cpupower/utils/helpers/bitmask.c,293,77,43,8,4
tools/power/cpupower/utils/helpers/misc.c,293,207,39,32,8
tools/power/cpupower/lib/cpupower.c,251,148,29,16,10
tools/power/cpupower/lib/cpuidle.c,387,150,37,23,10
tools/power/cpupower/lib/acpi_cppc.c,59,10,4,4,10
tools/power/cpupower/lib/powercap.c,307,136,36,29,9
tools/power/cpupower/lib/cpufreq.c,803,10,104,46,10
tools/power/cpupower/bindings/python/test_raw_pylibcpupower.py,58,36,15,0,1
tools/power/cpupower/debug/i386/centrino-decode.c,112,74,10,5,8
tools/power/cpupower/debug/i386/dump_psb.c,194,155,11,11,7
tools/power/cpupower/debug/i386/intel_gsic.c,77,61,6,1,3
tools/power/cpupower/debug/i386/powernow-k8-decode.c,95,35,6,6,8
tools/power/cpupower/debug/kernel/cpufreq-test_tsc.c,111,16,9,1,6
tools/power/x86/intel_pstate_tracer/intel_pstate_tracer.py,613,183,92,27,11
tools/power/x86/amd_pstate_tracer/amd_pstate_trace.py,353,77,46,10,13
tools/power/x86/x86_energy_perf_policy/x86_energy_perf_policy.c,1560,549,203,103,17
tools/power/x86/turbostat/turbostat.c,11240,4516,1483,482,33
tools/power/x86/intel-speed-select/isst-core-tpmi.c,832,94,77,34,2
tools/power/x86/intel-speed-select/isst-core.c,505,247,52,47,1
tools/power/x86/intel-speed-select/isst-config.c,3342,780,441,172,3
tools/power/x86/intel-speed-select/isst-daemon.c,256,138,35,11,14
tools/power/x86/intel-speed-select/isst-display.c,804,226,103,61,1
tools/power/x86/intel-speed-select/hfi-events.c,308,221,21,19,17
tools/power/x86/intel-speed-select/isst-core-mbox.c,1067,856,100,41,1
tools/tracing/latency/latency-collector.c,2108,1189,209,87,16
tools/tracing/rtla/sample/timerlat_load.py,78,49,21,0,3
tools/tracing/rtla/src/trace.c,588,350,60,34,8
tools/tracing/rtla/src/timerlat_bpf.c,180,98,9,15,3
tools/tracing/rtla/src/timerlat.c,183,114,27,3,11
tools/tracing/rtla/src/rtla.c,89,45,11,4,6
tools/tracing/rtla/src/osnoise_hist.c,912,516,120,23,9
tools/tracing/rtla/src/timerlat_hist.c,1490,813,228,27,13
tools/tracing/rtla/src/timerlat_aa.c,1056,534,67,21,4
tools/tracing/rtla/src/osnoise.c,1262,739,150,67,11
tools/tracing/rtla/src/timerlat.bpf.c,154,33,12,7,4
tools/tracing/rtla/src/utils.c,961,468,125,55,12
tools/tracing/rtla/src/actions.c,260,114,27,5,7
tools/tracing/rtla/src/timerlat_top.c,1303,662,174,20,14
tools/tracing/rtla/src/osnoise_top.c,737,452,85,13,8
tools/tracing/rtla/src/timerlat_u.c,226,82,32,12,13
tools/crypto/ccp/test_dbc.py,277,114,24,27,7
tools/crypto/ccp/dbc_cli.py,134,121,27,3,5
tools/crypto/ccp/dbc.py,64,49,10,4,2
tools/crypto/ccp/dbc.c,72,4,6,3,5
tools/crypto/tcrypt/tcrypt_speed_compare.py,190,121,26,6,2
tools/firmware/ihex2fw.c,289,181,38,6,12
tools/net/sunrpc/xdrgen/xdr_parse.py,36,13,4,3,1
tools/net/sunrpc/xdrgen/__init__.py,2,0,1,0,0
tools/net/sunrpc/xdrgen/xdr_ast.py,753,216,46,69,5
tools/net/sunrpc/xdrgen/subcmds/definitions.py,96,22,17,4,17
tools/net/sunrpc/xdrgen/subcmds/__init__.py,2,0,1,0,0
tools/net/sunrpc/xdrgen/subcmds/source.py,117,26,25,6,15
tools/net/sunrpc/xdrgen/subcmds/declarations.py,76,28,11,3,17
tools/net/sunrpc/xdrgen/subcmds/lint.py,33,3,4,2,6
tools/net/sunrpc/xdrgen/generators/header_bottom.py,33,4,1,4,5
tools/net/sunrpc/xdrgen/generators/__init__.py,117,48,17,15,5
tools/net/sunrpc/xdrgen/generators/typedef.py,271,119,45,11,8
tools/net/sunrpc/xdrgen/generators/header_top.py,45,10,1,4,5
tools/net/sunrpc/xdrgen/generators/source_top.py,32,10,1,2,5
tools/net/sunrpc/xdrgen/generators/program.py,168,56,45,11,3
tools/net/sunrpc/xdrgen/generators/pointer.py,288,37,40,14,8
tools/net/sunrpc/xdrgen/generators/constant.py,20,3,3,2,2
tools/net/sunrpc/xdrgen/generators/enum.py,64,19,12,6,2
tools/net/sunrpc/xdrgen/generators/struct.py,288,37,40,14,8
tools/net/sunrpc/xdrgen/generators/union.py,275,82,37,19,5
tools/net/ynl/pyynl/ynl_gen_rst.py,453,133,63,32,6
tools/net/ynl/pyynl/ethtool.py,446,324,70,7,9
tools/net/ynl/pyynl/__init__.py,0,0,1,0,0
tools/net/ynl/pyynl/cli.py,163,131,35,5,7
tools/net/ynl/pyynl/ynl_gen_c.py,3673,2965,778,257,12
tools/net/ynl/pyynl/lib/ynl.py,1125,202,246,74,16
tools/net/ynl/pyynl/lib/nlspec.py,617,337,89,45,4
tools/net/ynl/pyynl/lib/__init__.py,9,6,1,0,2
tools/net/ynl/samples/rt-link.c,184,50,25,3,6
tools/net/ynl/samples/rt-addr.c,80,65,7,3,6
tools/net/ynl/samples/rt-route.c,80,12,10,3,6
tools/net/ynl/samples/ethtool.c,65,52,9,1,5
tools/net/ynl/samples/tc.c,80,62,11,2,5
tools/net/ynl/samples/ovs.c,60,45,6,2,4
tools/net/ynl/samples/devlink.c,61,47,7,1,4
tools/net/ynl/samples/page-pool.c,149,118,19,2,5
tools/net/ynl/samples/netdev.c,128,95,23,3,5
tools/net/ynl/lib/ynl.c,1068,42,116,34,10
tools/virtio/vringh_test.c,758,10,96,17,14
tools/virtio/virtio_test.c,403,80,28,19,18
tools/virtio/vhost_net_test.c,532,157,35,28,20
tools/virtio/virtio-trace/trace-agent-ctl.c,135,31,14,6,7
tools/virtio/virtio-trace/trace-agent.c,272,44,22,11,5
tools/virtio/virtio-trace/trace-agent-rw.c,190,80,22,4,6
tools/virtio/vhost_test/vhost_test.c,1,1,1,0,1
tools/virtio/ringtest/virtio_ring_0_9.c,333,29,26,12,6
tools/virtio/ringtest/main.c,391,107,36,39,10
tools/virtio/ringtest/noring.c,72,23,3,7,2
tools/virtio/ringtest/ring.c,270,49,18,12,4
tools/virtio/ringtest/virtio_ring_inorder.c,2,2,1,0,1
tools/virtio/ringtest/ptr_ring.c,209,120,11,15,10
tools/virtio/ringtest/virtio_ring_poll.c,2,2,1,0,1
tools/hv/vmbus_bufring.c,318,66,23,10,12
tools/hv/hv_fcopy_uio_daemon.c,559,224,63,21,18
tools/hv/hv_vss_daemon.c,355,215,45,12,20
tools/hv/hv_kvp_daemon.c,2059,1250,242,101,20
tools/workqueue/wq_dump.py,253,29,40,4,8
tools/workqueue/wq_monitor.py,168,20,25,6,7
tools/wmi/dell-smbios-example.c,207,135,22,11,7
tools/firewire/decode-fcp.c,214,54,7,5,5
tools/firewire/nosy-dump.c,1022,405,90,21,17
tools/thermal/thermal-engine/thermal-engine.c,420,317,16,9,16
tools/thermal/thermometer/thermometer.c,573,436,59,27,18
tools/thermal/lib/log.c,77,57,10,4,5
tools/thermal/lib/uptimeofday.c,40,28,2,1,4
tools/thermal/lib/mainloop.c,104,78,12,9,7
tools/thermal/tmon/tui.c,656,266,58,43,12
tools/thermal/tmon/sysfs.c,591,211,73,43,14
tools/thermal/tmon/pid.c,119,32,7,3,16
tools/thermal/tmon/tmon.c,368,219,37,13,18
tools/sched/root_domains_dump.py,68,5,13,1,6
tools/sched/dl_bw_dump.py,57,4,11,1,6
tools/cgroup/memcg_shrinker.py,70,46,12,3,2
tools/cgroup/memcg_slabinfo.py,225,13,32,13,8
tools/cgroup/iocost_coef_gen.py,178,10,21,6,10
tools/cgroup/iocost_monitor.py,277,4,36,12,10
tools/leds/led_hw_brightness_mon.c,85,52,8,4,9
tools/leds/uledmon.c,64,42,6,3,6
tools/testing/selftests/proc/proc-loadavg-001.c,82,0,16,4,7
tools/testing/selftests/proc/proc-self-wchan.c,40,22,6,3,5
tools/testing/selftests/proc/proc-pid-vm.c,588,190,38,23,22
tools/testing/selftests/proc/proc-uptime-001.c,58,19,3,2,6
tools/testing/selftests/proc/proc-subset-pid.c,121,89,15,4,13
tools/testing/selftests/proc/proc-self-map-files-001.c,82,0,8,7,8
tools/testing/selftests/proc/proc-self-isnt-kthread.c,37,0,3,3,4
tools/testing/selftests/proc/fd-002-posix-eq.c,57,33,2,4,6
tools/testing/selftests/proc/setns-dcache.c,129,26,17,7,12
tools/testing/selftests/proc/proc-multiple-procfs.c,48,25,2,4,6
tools/testing/selftests/proc/setns-sysvipc.c,133,27,19,7,13
tools/testing/selftests/proc/proc-uptime-002.c,92,27,5,2,11
tools/testing/selftests/proc/proc-fsconfig-hidepid.c,50,27,2,3,6
tools/testing/selftests/proc/read.c,148,19,18,6,13
tools/testing/selftests/proc/self.c,39,18,2,2,4
tools/testing/selftests/proc/proc-self-map-files-002.c,94,36,10,7,8
tools/testing/selftests/proc/fd-001-lookup.c,168,12,18,4,11
tools/testing/selftests/proc/proc-empty-vm.c,541,326,51,15,14
tools/testing/selftests/proc/thread-self.c,64,29,3,4,7
tools/testing/selftests/proc/fd-003-kthread.c,178,40,19,10,11
tools/testing/selftests/proc/proc-tid0.c,81,27,9,2,8
tools/testing/selftests/proc/proc-2-is-kthread.c,53,9,3,3,5
tools/testing/selftests/proc/proc-self-syscall.c,58,24,7,4,8
tools/testing/selftests/proc/proc-maps-race.c,741,89,63,17,13
tools/testing/selftests/timens/vfork_exec.c,141,95,20,10,15
tools/testing/selftests/timens/clock_nanosleep.c,151,61,17,7,13
tools/testing/selftests/timens/timer.c,128,99,18,5,12
tools/testing/selftests/timens/exec.c,95,54,17,5,14
tools/testing/selftests/timens/gettime_perf.c,105,83,14,3,12
tools/testing/selftests/timens/timerfd.c,135,102,19,5,12
tools/testing/selftests/timens/timens.c,189,101,28,6,13
tools/testing/selftests/timens/procfs.c,199,152,31,4,14
tools/testing/selftests/timens/futex.c,112,84,15,6,12
tools/testing/selftests/futex/functional/futex_wait_timeout.c,206,92,16,6,4
tools/testing/selftests/futex/functional/futex_numa.c,262,108,25,11,10
tools/testing/selftests/futex/functional/futex_requeue_pi_signal_restart.c,222,159,16,10,11
tools/testing/selftests/futex/functional/futex_wait_private_mapped_file.c,125,89,6,9,11
tools/testing/selftests/futex/functional/futex_priv_hash.c,305,184,29,9,8
tools/testing/selftests/futex/functional/futex_wait.c,171,58,14,5,6
tools/testing/selftests/futex/functional/futex_wait_wouldblock.c,111,83,7,4,9
tools/testing/selftests/futex/functional/futex_wait_uninitialized_heap.c,123,87,7,6,13
tools/testing/selftests/futex/functional/futex_waitv.c,237,30,26,7,13
tools/testing/selftests/futex/functional/futex_requeue_pi.c,420,109,44,26,10
tools/testing/selftests/futex/functional/futex_requeue_pi_mismatched_ops.c,135,88,10,6,9
tools/testing/selftests/futex/functional/futex_numa_mpol.c,235,162,25,11,12
tools/testing/selftests/futex/functional/futex_requeue.c,136,100,10,5,4
tools/testing/selftests/rlimits/rlimits-per-userns.c,161,116,23,5,16
tools/testing/selftests/firmware/fw_namespace.c,148,107,25,5,13
tools/testing/selftests/rseq/rseq.c,308,139,23,10,17
tools/testing/selftests/rseq/param_test.c,1660,974,189,67,18
tools/testing/selftests/rseq/basic_percpu_ops_test.c,353,208,39,22,10
tools/testing/selftests/rseq/basic_test.c,60,49,6,4,7
tools/testing/selftests/rseq/syscall_errors_test.c,124,23,15,4,6
tools/testing/selftests/safesetid/safesetid-test.c,542,463,85,17,16
tools/testing/selftests/ia64/aliasing-test.c,260,193,35,12,12
tools/testing/selftests/move_mount_set_group/move_mount_set_group_test.c,375,138,43,13,15
tools/testing/selftests/tty/tty_tstamp_update.c,106,55,11,5,9
tools/testing/selftests/intel_pstate/msr.c,40,30,4,3,10
tools/testing/selftests/intel_pstate/aperf.c,93,76,8,3,13
tools/testing/selftests/net/rxtimestamp.c,448,196,51,24,18
tools/testing/selftests/net/sample_ret0.bpf.c,10,0,2,1,0
tools/testing/selftests/net/skf_net_off.c,244,129,17,7,28
