first_token,loc_physical,loc,cc,fan_in,fan_out
Documentation,3734,1441,535,105,111
arch,1535861,667078,131978,34145,44161
block,65138,30435,7001,1307,662
certs,991,537,114,32,35
crypto,71260,33851,5081,1372,1225
drivers,17400097,6743773,1360340,307042,202028
fs,1485195,692054,157183,29014,18447
init,4489,1885,405,121,224
io_uring,22081,10757,2721,591,531
ipc,9620,4230,904,205,176
kernel,487511,203191,50795,11614,5357
lib,244193,111806,16507,3975,2542
mm,201306,89755,21687,4558,2448
net,1243047,505585,131697,26937,17701
rust,1110,796,55,100,103
samples,33629,14847,2930,946,1304
scripts,56451,20926,6792,1967,678
security,110106,49288,12359,2881,1570
sound,1371155,484481,90900,25453,18028
tools,1143401,461462,107429,39213,26001
usr,697,498,62,45,13
virt,10499,4562,1039,307,119
,,,,,
total,25501571,10133238,2108514,491930,343464
