filename,loc_physical,loc,cc,fan_in,fan_out
.spin/cmds.py,629,373,65,19,18
tools/check_installed_files.py,123,75,23,2,4
tools/check_python_h_first.py,254,189,46,5,7
tools/download-wheels.py,132,60,13,2,6
tools/refguide_check.py,656,369,121,11,13
tools/check_openblas_version.py,20,10,2,0,3
tools/changelog.py,187,60,27,4,5
tools/write_release.py,118,39,12,2,6
tools/linter.py,69,43,8,4,4
tools/functions_missing_types.py,127,78,11,6,4
tools/get_submodule_paths.py,31,21,6,1,2
tools/swig/test/testArray.py,390,294,31,61,4
tools/swig/test/testFarray.py,159,108,21,20,7
tools/swig/test/testTensor.py,400,294,35,40,5
tools/swig/test/setup.py,66,48,5,0,2
tools/swig/test/testSuperTensor.py,395,276,35,40,4
tools/swig/test/testFortran.py,161,106,6,15,4
tools/swig/test/testVector.py,379,265,21,44,4
tools/swig/test/testMatrix.py,360,254,14,40,4
tools/swig/test/testFlat.py,197,139,10,17,5
tools/ci/test_all_newsfragments_used.py,23,14,3,1,3
tools/ci/push_docs_to_repo.py,75,59,9,1,6
tools/c_coverage/c_coverage_report.py,181,16,32,12,9
numpy/_array_api_info.py,346,121,31,5,1
numpy/conftest.py,227,155,24,8,12
numpy/_globals.py,96,26,23,4,2
numpy/_configtool.py,39,34,7,1,5
numpy/__init__.py,930,745,89,6,57
numpy/dtypes.py,41,9,9,1,1
numpy/_distributor_init.py,15,4,4,0,1
numpy/matlib.py,380,51,36,8,11
numpy/exceptions.py,246,39,37,2,2
numpy/_expired_attrs_2_0.py,79,74,13,0,0
numpy/_pytesttester.py,201,61,31,3,12
numpy/distutils/unixccompiler.py,141,28,26,2,10
numpy/distutils/numpy_distribution.py,17,9,2,2,1
numpy/distutils/conv_template.py,329,173,43,11,3
numpy/distutils/cpuinfo.py,683,500,111,174,8
numpy/distutils/ccompiler.py,826,462,166,19,24
numpy/distutils/msvc9compiler.py,63,25,13,4,3
numpy/distutils/npy_pkg_config.py,441,102,66,27,7
numpy/distutils/misc_util.py,2484,1137,440,110,40
numpy/distutils/log.py,111,77,19,10,5
numpy/distutils/line_endings.py,77,62,13,6,3
numpy/distutils/lib2def.py,116,43,21,4,4
numpy/distutils/pathccompiler.py,21,14,1,1,1
numpy/distutils/system_info.py,3267,795,545,112,33
numpy/distutils/__init__.py,64,30,13,2,10
numpy/distutils/core.py,215,176,58,6,14
numpy/distutils/exec_command.py,315,158,63,10,7
numpy/distutils/from_template.py,261,71,44,12,3
numpy/distutils/fujitsuccompiler.py,28,21,1,1,1
numpy/distutils/mingw32ccompiler.py,620,144,117,24,31
numpy/distutils/extension.py,101,58,16,3,3
numpy/distutils/msvccompiler.py,76,28,17,4,3
numpy/distutils/armccompiler.py,26,19,1,1,1
numpy/distutils/intelccompiler.py,106,11,8,5,5
numpy/distutils/_shell_utils.py,87,42,18,6,4
numpy/distutils/ccompiler_opt.py,2668,1074,492,71,15
numpy/distutils/checks/cpu_avx512_skx.c,26,9,4,1,1
numpy/distutils/checks/cpu_f16c.c,22,13,3,1,2
numpy/distutils/checks/extra_vsx4_mma.c,21,19,1,1,1
numpy/distutils/checks/extra_avx512f_reduce.c,41,30,1,2,1
numpy/distutils/checks/cpu_ssse3.c,20,11,3,1,1
numpy/distutils/checks/cpu_sse42.c,20,11,3,1,1
numpy/distutils/checks/cpu_sse3.c,20,11,3,1,1
numpy/distutils/checks/cpu_xop.c,12,11,1,1,3
numpy/distutils/checks/cpu_vsx.c,21,19,2,1,1
numpy/distutils/checks/cpu_rvv.c,13,11,1,1,1
numpy/distutils/checks/cpu_avx512cd.c,20,11,3,1,1
numpy/distutils/checks/cpu_neon_vfpv4.c,21,20,1,2,2
numpy/distutils/checks/cpu_asimddp.c,16,15,1,2,2
numpy/distutils/checks/extra_avx512bw_mask.c,18,11,1,1,1
numpy/distutils/checks/cpu_avx.c,20,11,3,1,1
numpy/distutils/checks/cpu_sse41.c,20,11,3,1,1
numpy/distutils/checks/cpu_vsx2.c,13,11,1,1,1
numpy/distutils/checks/cpu_vx.c,16,13,2,1,1
numpy/distutils/checks/cpu_avx512_knl.c,25,10,4,2,1
numpy/distutils/checks/extra_vsx3_half_double.c,12,8,1,1,0
numpy/distutils/checks/cpu_popcnt.c,32,20,5,1,2
