filename,loc_physical,loc,cc,fan_in,fan_out
setup.py,1761,502,266,35,38
tools/vscode_settings.py,66,47,11,2,3
tools/extract_scripts.py,105,80,13,2,8
tools/nvcc_fix_deps.py,121,17,21,4,5
tools/substitute.py,28,20,3,1,3
tools/gen_vulkan_spv.py,772,470,95,31,21
tools/__init__.py,0,0,1,0,0
tools/render_junit.py,107,87,21,6,6
tools/nightly_hotpatch.py,219,135,35,6,9
tools/build_libtorch.py,34,24,4,0,6
tools/update_masked_docs.py,60,29,8,1,3
tools/generate_torch_version.py,111,90,19,3,8
tools/optional_submodules.py,63,46,6,5,4
tools/download_mnist.py,94,78,18,4,6
tools/build_with_debinfo.py,125,25,24,8,7
tools/build_pytorch_libs.py,118,91,22,4,9
tools/nightly.py,1156,456,159,61,32
tools/packaging/build_wheel.py,247,43,23,13,11
tools/experimental/dynamic_shapes/torchfuzz/ops_fuzzer.py,359,135,64,15,7
tools/experimental/dynamic_shapes/torchfuzz/visualize_graph.py,227,137,41,4,7
tools/experimental/dynamic_shapes/torchfuzz/__init__.py,19,0,2,0,3
tools/experimental/dynamic_shapes/torchfuzz/tensor_fuzzer.py,529,127,146,11,3
tools/experimental/dynamic_shapes/torchfuzz/fuzzer.py,264,176,44,4,16
tools/experimental/dynamic_shapes/torchfuzz/codegen.py,511,355,103,5,28
tools/experimental/dynamic_shapes/torchfuzz/type_promotion.py,194,35,16,5,2
tools/experimental/dynamic_shapes/torchfuzz/operators/scalar_pointwise.py,44,15,9,4,4
tools/experimental/dynamic_shapes/torchfuzz/operators/tensor_pointwise.py,91,46,16,4,4
tools/experimental/dynamic_shapes/torchfuzz/operators/registry.py,61,14,8,8,7
tools/experimental/dynamic_shapes/torchfuzz/operators/__init__.py,22,0,1,0,7
tools/experimental/dynamic_shapes/torchfuzz/operators/arg.py,27,7,5,4,2
tools/experimental/dynamic_shapes/torchfuzz/operators/constant.py,87,7,19,4,3
tools/experimental/dynamic_shapes/torchfuzz/operators/base.py,38,9,7,6,2
tools/experimental/dynamic_shapes/torchfuzz/operators/item.py,35,10,11,4,2
tools/gdb/pytorch-gdb.py,107,66,9,8,3
tools/iwyu/fixup.py,61,50,6,1,2
tools/test/test_test_selections.py,553,499,46,16,10
tools/test/test_utils.py,22,17,1,3,2
tools/test/test_set_linter.py,92,74,13,5,8
tools/test/test_test_run.py,168,114,4,21,5
tools/test/test_gb_registry_linter.py,397,191,12,13,11
tools/test/gen_operators_yaml_test.py,245,219,3,7,6
tools/test/test_gen_backend_stubs.py,309,175,46,23,6
tools/test/test_docstring_linter.py,203,165,12,15,11
tools/test/test_header_only_linter.py,98,82,2,5,3
tools/test/test_selective_build.py,300,189,9,10,4
tools/test/test_upload_test_stats.py,24,10,4,1,3
tools/test/test_vulkan_codegen.py,134,66,14,3,3
tools/test/test_codegen_model.py,222,85,11,16,9
tools/test/test_cmake.py,107,30,12,4,9
tools/test/gen_oplist_test.py,35,23,1,2,3
tools/test/linter_test_case.py,56,45,3,5,5
tools/test/test_upload_stats_lib.py,283,217,6,10,11
