first_token,loc_physical,loc,cc,fan_in,fan_out
.ci,5422,3325,617,259,255
.circleci,26,14,3,1,5
.github,11926,6719,1307,491,284
android,2846,1869,124,282,95
aten,33157,23963,1565,126,580
benchmarks,40418,23259,4186,1971,1311
caffe2,834,719,127,7,4
docs,4358,3158,182,19,51
functorch,9005,4850,1340,320,320
mypy_plugins,105,81,8,6,8
scripts,2988,1945,424,122,106
setup.py,1761,502,266,35,38
test,917227,526759,64938,67259,14785
third_party,9679,2227,1312,102,37
tools,41996,23960,5413,1368,1633
torch,973462,497511,137019,40117,20124
torchgen,24851,13866,3815,913,480
,,,,,
,,,,,
,2080061,1134727,222646,113398,40116
