id,number,title,state,user,created_at,updated_at,comments,url
3555281812,166295,"Feedback about torch.nn.HingeEmbeddingLoss, HuberLoss, SmoothL1Loss, SoftMarginLoss, MultiLabelSoftMarginLoss Need adding an example",open,vishalgoyal316,2025-10-27T06:36:19Z,2025-10-27T06:37:24Z,0,https://github.com/pytorch/pytorch/issues/166295
3555128279,166291,"""FSDP does not support non-contiguous parameters yet"" prevents using channels-last convolutions",open,ad8e,2025-10-27T05:33:41Z,2025-10-27T05:33:41Z,0,https://github.com/pytorch/pytorch/issues/166291
3554963720,166290,[Fuzzer][Eager/Compile Divergence] IndexError: list index out of range,open,bobrenjc93,2025-10-27T04:07:46Z,2025-10-27T04:07:51Z,0,https://github.com/pytorch/pytorch/issues/166290
3554828538,166286,unnecessary warning triggered by inductor in pytorch 2.9,open,youkaichao,2025-10-27T02:46:39Z,2025-10-27T02:47:09Z,1,https://github.com/pytorch/pytorch/issues/166286
3554691735,166282,"Why does my PR still show ""Missing CLA Authorization"" even though I have already signed the CLA document?",open,wenlinchong17-web,2025-10-27T01:19:21Z,2025-10-27T01:19:21Z,0,https://github.com/pytorch/pytorch/issues/166282
3554512615,166279,[Fuzzer][Eager/Compile Divergence] assert len(input_size) == len(new_size),open,bobrenjc93,2025-10-26T22:31:41Z,2025-10-26T22:31:46Z,0,https://github.com/pytorch/pytorch/issues/166279
3554419852,166270,[Fuzzer][Eager/Compile Divergence] assert len(self.stride) == len(order),open,bobrenjc93,2025-10-26T20:30:52Z,2025-10-26T20:30:58Z,0,https://github.com/pytorch/pytorch/issues/166270
3554391238,166268,GLOBAL_STATE: ___check_global_state() is insufficient to determine global state from tlparse,open,ezyang,2025-10-26T19:56:03Z,2025-10-26T19:56:03Z,0,https://github.com/pytorch/pytorch/issues/166268
3554380351,166267,Dynamo should be able to Dynamo trace the Dynamo graph (dynamo_output_graph) it creates,open,ezyang,2025-10-26T19:48:27Z,2025-10-26T20:19:13Z,1,https://github.com/pytorch/pytorch/issues/166267
3553850071,166261,"Build VLLM In The CUDA13,Run Error",closed,tieshulin,2025-10-26T12:14:45Z,2025-10-26T13:29:24Z,1,https://github.com/pytorch/pytorch/issues/166261
